Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
170637,PuenteAlto,3,1.0,85.0,185.0,2.0
228518,SanBernardo,4,3.0,108.0,182.0,2.0
697385,Buin,6,3.0,550.0,2000.0,3.0
330012,Macul,4,2.0,144.0,221.0,3.0
14,Providencia,3,2.0,229.0,248.0,2.0
167534,Maipú,3,3.0,76.0,118.0,2.0
440847,CaleradeTango,3,3.0,218.0,5000.0,6.0
186800,Independencia,3,1.0,76.0,145.0,1.0
149440,Maipú,4,1.0,170.0,220.0,1.0
168421,Buin,3,2.0,89.0,212.0,2.0
171967,PadreHurtado,3,2.0,74.0,140.0,1.0
94521,LaFlorida,6,2.0,110.0,154.0,1.0
366980,Santiago,5,3.0,263.0,23000.0,
664819,LasCondes,4,2.0,170.0,468.0,3.0
99626,PadreHurtado,5,3.0,106.0,168.0,2.0
177285,Lampa,3,3.0,84.0,133.0,2.0
96886,SanBernardo,2,1.0,78.0,70.0,2.0
223823,LaFlorida,3,2.0,92.0,179.0,2.0
172853,EstaciónCentral,3,1.0,77.0,171.0,1.0
1196675,LaFlorida,4,4.0,182.0,1600.0,5.0
1152354,Santiago,5,3.0,254.0,490.0,4.0
143213,PedroAguirreCerda,4,2.0,90.0,100.0,1.0
127823,PuenteAlto,3,1.0,61.0,108.0,2.0
81569,Paine,2,1.0,54.0,97.0,1.0
143213,Paine,3,1.0,60.0,1164.0,
576177,Peñalolén,4,3.0,140.0,260.0,2.0
89664,PadreHurtado,3,2.0,65.0,90.0,1.0
174346,PuenteAlto,3,3.0,92.0,172.0,4.0
199253,Recoleta,6,3.0,,250.0,
314238,SanBernardo,3,2.0,83.0,750.0,6.0
509695,LaReina,5,4.0,150.0,250.0,2.0
144399,SanBernardo,3,2.0,63.0,107.0,2.0
301385,Peñalolén,3,2.0,98.0,227.0,2.0
261519,LaFlorida,4,2.0,153.0,173.0,2.0
257064,Buin,4,3.0,130.0,216.0,2.0
120797,Maipú,3,3.0,79.0,106.0,2.0
367867,LaCisterna,5,2.0,150.0,330.0,3.0
93400,Melipilla,3,1.0,43.0,198.0,2.0
398892,LaFlorida,4,4.0,177.0,259.0,3.0
155666,Macul,3,1.0,81.0,160.0,3.0
130760,LaReina,4,1.0,70.0,135.0,1.0
598337,Colina,3,3.0,167.0,400.0,3.0
314681,LaFlorida,4,2.0,100.0,240.0,2.0
403324,Colina,5,4.0,139.0,330.0,2.0
465374,SanBernardo,10,4.0,200.0,662.0,8.0
282690,Quilicura,5,3.0,178.0,216.0,1.0
188366,Independencia,7,2.0,197.0,225.0,
332410,LaFlorida,3,3.0,121.0,290.0,2.0
178082,Recoleta,4,2.0,160.0,300.0,2.0
93400,PuenteAlto,2,1.0,56.0,80.0,2.0
86550,Buin,2,1.0,54.0,82.0,1.0
174346,PuenteAlto,3,2.0,90.0,110.0,1.0
1130193,LoBarnechea,5,6.0,320.0,1040.0,6.0
93400,PadreHurtado,2,1.0,60.0,90.0,1.0
149440,Peñaflor,3,3.0,130.0,150.0,2.0
80324,PuenteAlto,5,2.0,130.0,115.0,2.0
510005,Maipú,5,2.0,,700.0,8.0
98381,EstaciónCentral,3,2.0,80.0,160.0,1.0
255293,Santiago,7,3.0,161.0,185.0,
298879,Santiago,5,3.0,190.0,250.0,1.0
109589,Pudahuel,3,2.0,65.0,90.0,2.0
92154,Maipú,4,2.0,50.0,69.0,1.0
161893,ElBosque,5,3.0,,97.0,3.0
558448,LaReina,3,2.0,228.0,451.0,3.0
299169,Buin,4,3.0,119.0,220.0,2.0
283656,LasCondes,2,1.0,60.0,80.0,
