price_usd;comuna;habitaciones;banio;area_construida;area_total
230262;Ñuñoa;3;1;81;95
398448;Ñuñoa;4;2;100;180
309806;Ñuñoa;3;2;180;180
199253;Ñuñoa;3;1;75;100
567313;Ñuñoa;5;5;202;255
523039;Ñuñoa;4;3;173;200
547945;Ñuñoa;4;2;140;300
1240996;Ñuñoa;6;3;352;703
655955;Ñuñoa;3;2;250;636
576177;Ñuñoa;5;3;204;250
199253;Ñuñoa;4;1;85;144
292521;Ñuñoa;3;2;85;139
474238;Ñuñoa;6;3;179;205
481329;Ñuñoa;5;2;288;183
186800;Ñuñoa;3;2;100;150
376731;Ñuñoa;3;3;93;121
753462;Ñuñoa;3;2;600;600
249066;Ñuñoa;4;2;150;226
473225;Ñuñoa;3;1;130;184
410959;Ñuñoa;3;3;135;172
753152;Ñuñoa;4;3;280;790
828808;Ñuñoa;5;4;210;525
1236564;Ñuñoa;4;2;231;784
199253;Ñuñoa;3;1;100;75
622665;Ñuñoa;4;3;170;430
487534;Ñuñoa;3;3;140;252
398892;Ñuñoa;4;2;176;103
230386;Ñuñoa;3;2;75;190
459257;Ñuñoa;4;3;172;223
735733;Ñuñoa;5;3;192;595
622665;Ñuñoa;4;2;135;571
310249;Ñuñoa;3;2;70;110
474238;Ñuñoa;5;3;205;179
503490;Ñuñoa;2;4;136;338
620498;Ñuñoa;5;4;250;504
549584;Ñuñoa;4;2;150;200
662603;Ñuñoa;10;3;265;713
735733;Ñuñoa;4;2;155;433
204764;Ñuñoa;1;1;38;49
186800;Ñuñoa;3;1;120;250
684932;Ñuñoa;12;4;450;490
684919;Ñuñoa;3;2;129;313
314681;Ñuñoa;5;2;184;360
483102;Ñuñoa;3;3;170;280
708254;Ñuñoa;4;3;198;427
149440;Ñuñoa;2;1;43;40
565097;Ñuñoa;5;3;157;355
753152;Ñuñoa;4;3;280;790
348692;Ñuñoa;4;2;165;165
766758;Ñuñoa;6;4;315;492
527423;Ñuñoa;3;2;139;519
367867;Ñuñoa;2;2;102;103
700276;Ñuñoa;3;2;205;206
89664;Ñuñoa;3;1;60;85
527423;Ñuñoa;4;2;139;519
398448;Ñuñoa;4;2;130;170
487534;Ñuñoa;4;3;119;270
664819;Ñuñoa;4;4;275;268
373599;Ñuñoa;4;2;82;90
886426;Ñuñoa;6;4;182;349
443213;Ñuñoa;5;2;226;335
1448420;Ñuñoa;5;3;240;817
423412;Ñuñoa;4;1;140;215
576177;Ñuñoa;6;4;230;413
797783;Ñuñoa;5;5;177;315
398892;Ñuñoa;4;2;115;172
819944;Ñuñoa;4;4;195;300
523039;Ñuñoa;5;4;245;295
691412;Ñuñoa;3;4;167;399
503490;Ñuñoa;2;4;136;338
614736;Ñuñoa;4;4;140;180
479452;Ñuñoa;8;4;250;375
276521;Ñuñoa;2;1;56;175
686980;Ñuñoa;4;3;200;648
293806;Ñuñoa;4;2;94;180
522991;Ñuñoa;3;3;140;230
193026;Ñuñoa;3;1;90;120
175069;Buin;4;2;101;168
404732;Buin;4;2;127;450
398892;Buin;4;3;188;350
697385;Buin;6;3;550;2000
168421;Buin;3;2;89;212
257064;Buin;4;3;130;216
86550;Buin;2;1;54;82
299169;Buin;4;3;119;220
308033;Buin;3;3;112;240
753462;Buin;6;4;330;5000
494182;Buin;4;4;140;740
186800;Buin;3;3;94;180
75965;Buin;2;1;98;45
97507;Buin;3;1;44;76
103362;Buin;3;2;96;110
141163;Buin;3;2;60;120
86427;Buin;3;1;50;86
319113;Buin;4;3;110;202
95890;Buin;2;1;45;85
87173;Buin;3;1;49;82
174346;Buin;3;2;65;117
99626;Buin;2;1;51;98
172853;Buin;3;3;75;75
