price_usd;comuna;dorm;bath;built_area;total_area;parqking
438781;Providencia;5;3;222;264;
113325;Maipu;3;1;55;100;1
209640;Maipu;3;3;100;110;2
242839;SanBernardo;5;2;148;306;1
554016;Providencia;3;2;130;264;2
418836;LaFlorida;3;3;110;380;4
155666;SanJoaquín;3;1;92;252;2
68493;Providencia;1;1;55;59;
124533;CerroNavia;5;1;102;160;1
218929;Peñaflor;4;3;110;165;2
61644;Lampa;2;1;46;70;
149440;Lampa;3;2;94;120;
136986;PuenteAlto;3;2;;;1
675900;Colina;3;3;150;518;
1817173;Independencia;1;2;948;1148;
110336;SanBernardo;3;2;90;160;1
99626;CerroNavia;2;1;70;162;1
159402;Maipu;4;2;94;131;
115235;EstacionCentral;3;2;60;120;
576177;Peñalolén;4;3;140;260;2
283656;Lampa;4;3;120;210;2
212742;PuenteAlto;3;3;94;180;2
219390;PuenteAlto;3;3;94;154;2
219390;PuenteAlto;3;3;94;200;2
180448;PuenteAlto;4;3;72;120;1
174346;LaFlorida;5;3;81;162;1
236613;Maipu;4;4;130;200;
155666;QuintaNormal;3;1;76;204;2
131812;SanBernardo;4;2;122;104;3
217933;EstacionCentral;4;3;78;192;3
363435;LaCisterna;4;1;235;787;
531856;LasCondes;3;1;85;285;2
576177;Colina;3;2;5000;5000;
110803;LaFlorida;1;1;42;42;
168120;LaFlorida;4;1;92;136;
74720;SanBernardo;3;2;60;100;2
149440;Maipu;4;2;90;200;
311333;EstacionCentral;5;2;120;300;
130760;Maipu;4;2;128;70;
136986;Cerrillos;5;3;110;225;3
136986;Pudahuel;4;2;72;75;1
186800;Pudahuel;7;4;240;310;
161893;Santiago;3;1;200;210;
205479;Maipu;3;1;58;282;2
78456;SanBernardo;3;1;50;118;3
118306;Pudahuel;6;3;85;90;
80946;SanBernardo;5;2;75;105;
572852;Maipu;3;1;100;1600;
146949;PuenteAlto;3;2;57;149;3
80946;SanBernardo;3;1;50;118;1
163989;PuenteAlto;3;1;90;120;1
80946;Lampa;1;1;72;72;
155666;LaPintana;3;2;125;112;1
398892;LaFlorida;4;3;120;313;1
176842;QuintaNormal;2;1;107;134;
930304;LoBarnechea;7;4;265;522;
176842;Maipu;3;2;84;128;2
1418281;Vitacura;5;3;380;800;5
80946;Lampa;4;2;74;87;2
162305;LasCondes;3;1;45;145;
273973;LaFlorida;4;1;148;148;1
1161218;Vitacura;4;3;280;640;4
62267;LaFlorida;3;1;65;60;
110834;PuenteAlto;3;1;;;
174346;Maipu;3;2;92;195;
124533;LaReina;4;1;100;150;1
1004808;LaReina;4;1;115;849;
230386;Independencia;3;1;101;246;2
211706;LaFlorida;4;2;102;290;
374471;Macul;10;6;249;321;2
314681;Macul;5;2;184;360;3
224709;LaFlorida;3;3;120;150;1
686980;Santiago;5;7;300;3150;1
527423;LasCondes;3;3;110;195;1
174346;Maipu;4;2;120;140;
173101;Santiago;3;2;153;162;
84698;Colina;2;1;67;75;
168120;SanBernardo;5;2;152;152;1
99626;SanBernardo;2;1;;;2
438781;LaFlorida;4;2;123;485;4
93400;PuenteAlto;2;1;120;200;1
161893;PuenteAlto;4;2;54;135;2
211706;Quilicura;3;1;87;350;1
217174;PadreHurtado;3;3;94;165;
398448;Ñuñoa;4;2;100;172;
651523;Colina;3;3;180;427;2
87173;SanBernardo;3;1;;;4
234016;Maipu;4;1;68;171;
376731;Pudahuel;5;3;137;296;2
642216;Colina;4;3;189;745;1
68493;PuenteAlto;3;2;80;79;2
174346;Conchalí;5;2;162;108;
495955;Colina;3;3;140;350;2
576177;Peñalolén;4;2;240;1000;3
314238;Santiago;5;2;221;262;4
664819;Providencia;4;2;135;356;1
576133;Peñalolén;5;3;165;340;2
118306;PadreHurtado;3;2;120;189;1
523039;LaReina;5;5;210;450;3
2038780;Vitacura;5;5;1080;500;5
571745;Peñalolén;5;3;140;390;2
526980;Vitacura;4;3;130;275;1
454545;QuintaNormal;4;2;142;423;2
87049;Colina;2;1;48;76;2
146260;Cerrillos;2;1;67;324;1
638227;Huechuraba;5;4;234;426;2
93400;EstacionCentral;2;1;68;69;
1369528;LasCondes;4;4;327;94929;3
159402;SanBernardo;3;2;87;95;1
64757;LaGranja;3;1;76;60;1
105853;PuenteAlto;2;2;70;105;2
56040;Melipilla;4;1;88;66;
150116;Paine;5;2;160;140;
573961;LasCondes;4;3;212;212;2
527423;LaReina;6;3;183;452;1
80946;PuenteAlto;3;1;15;100;1
119667;QuintaNormal;7;2;170;200;
163989;PuenteAlto;3;2;194;195;2
573961;LasCondes;4;3;120;212;2
127497;LoPrado;3;1;102;162;
93400;PuenteAlto;3;2;49;79;
421052;LaFlorida;4;4;140;312;
98381;SanBernardo;3;2;70;92;2
168120;Maipu;3;2;85;193;2
193014;Lampa;3;3;75;120;
1861494;Vitacura;6;6;480;1090;3
149440;ElBosque;7;1;140;180;3
95291;QuintaNormal;3;1;49;49;
192403;SanBernardo;3;3;110;160;4
272886;Recoleta;6;2;120;120;
567313;Peñalolén;4;3;154;542;1
90859;Santiago;1;1;41;41;
323102;LaFlorida;3;2;110;239;4
456509;LasCondes;3;2;80;240;
224159;Quilicura;5;3;170;194;2
372299;LaReina;3;2;98;228;3
136986;Quilicura;3;3;77;114;1
682548;LaFlorida;6;5;201;1869;
576177;LaReina;4;2;130;359;
664819;LoBarnechea;5;2;171;322;
137396;PuenteAlto;3;2;57;94;2
136986;ElBosque;4;2;220;220;
159557;Maipu;4;3;89;122;1
1551245;LoBarnechea;7;6;670;2150;8
1240996;LoBarnechea;5;5;300;700;3
254980;LaFlorida;6;3;182;302;2
149440;PuenteAlto;4;2;;;1
735733;LasCondes;3;3;127;207;2
186800;SanBernardo;3;2;;;1
873130;Vitacura;4;2;140;335;
373599;PuenteAlto;3;1;720;720;
112080;LaFlorida;4;1;83;120;2
224159;PuenteAlto;4;2;166;181;1
105853;Pudahuel;4;2;150;84;
224159;LaFlorida;3;1;320;320;3
485318;LasCondes;5;2;124;320;3
255512;LaFlorida;4;2;152;144;1
115816;SanBernardo;2;1;70;160;
700276;LasCondes;4;3;170;250;
185056;SanBernardo;3;2;110;220;3
87173;Colina;2;1;90;105;1
1218836;LasCondes;5;5;480;1510;
974625;LaReina;5;;250;2500;8
230386;PuenteAlto;3;3;89;160;2
87173;Quilicura;2;1;52;71;
842105;Vitacura;4;3;140;330;2
660387;Vitacura;4;4;130;195;1
186800;Macul;3;1;90;161;2
664819;LaReina;3;4;198;340;2
1085872;LoBarnechea;5;5;237;839;
295143;Colina;3;1;67;214;
188366;PuenteAlto;3;2;98;174;2
77210;SanBernardo;2;1;52;80;
110803;Buin;2;2;54;100;1
642659;Colina;4;4;152;420;
638227;Colina;3;4;151;384;
567313;Peñalolén;4;4;156;300;4
80946;Colina;4;1;69;75;
99626;CerroNavia;3;1;95;198;2
117061;PuenteAlto;2;1;70;122;1
155654;PuenteAlto;2;2;90;90;1
793351;Vitacura;3;4;250;250;1
132964;Maipu;3;1;80;60;2
1263157;LasCondes;6;6;372;1049;
176842;PuenteAlto;4;3;95;130;1
161880;PuenteAlto;4;2;156;80;1
155666;Talagante;4;3;98;108;
155666;Maipu;3;2;61;150;1
367867;LaFlorida;4;3;138;254;2
161893;Peñaflor;2;2;91;184;
191245;PuenteAlto;3;2;100;160;
149440;Lampa;4;2;141;300;
161893;SanBernardo;5;1;150;220;
576177;SanJoaquín;4;2;230;600;
70984;LaFlorida;3;2;62;62;
203435;Tiltil;3;3;109;268;
128532;Maipu;3;2;66;101;1
1041550;Colina;6;5;330;1100;5
91745;Pudahuel;4;1;;99;
1152354;LoBarnechea;5;4;18917;11927;2
123288;SanBernardo;3;2;75;130;1
224159;LaCisterna;5;3;126;170;
3324097;LoBarnechea;5;7;311;8341;4
1905372;Santiago;15;11;800;157;
835456;LasCondes;4;4;190;302;2
105853;PuenteAlto;3;2;184;184;2
86427;EstacionCentral;1;1;32;34;
1192243;Vitacura;5;2;149;544;4
516343;LaReina;5;3;129;348;
1320775;LoBarnechea;5;4;355;924;4
118781;Cerrillos;4;1;75;128;
354919;Maipu;3;2;110;334;
558448;Peñalolén;5;2;180;900;
367867;Maipu;5;3;139;295;5
664376;Providencia;4;4;175;433;
80946;Lampa;1;1;70;71;
136986;Maipu;3;1;120;145;1
235367;Maipu;6;3;138;220;3
126316;Cerrillos;4;1;88;250;
197806;PedroAguirreCerda;5;1;;;
93400;ElMonte;3;1;55;150;
83437;Quilicura;3;1;70;63;1
217933;Maipu;4;3;119;300;1
105355;ElBosque;4;2;70;100;2
217174;Colina;4;3;90;120;
199253;CerroNavia;7;4;130;167;
213584;Santiago;5;2;222;100;
788919;LoBarnechea;1;2;175;300;
69738;Lampa;2;1;40;70;1
298879;Maipu;6;3;125;300;2
124100;Maipu;4;2;80;134;
221606;PedroAguirreCerda;3;3;105;270;3
236613;LaFlorida;6;3;152;269;6
172853;LaFlorida;3;3;69;80;1
948875;Providencia;5;4;178;480;
168120;EstacionCentral;3;1;97;130;
130760;QuintaNormal;3;1;111;160;
407756;Colina;3;3;120;350;2
70984;SanBernardo;4;1;83;94;
788476;LaReina;5;3;200;385;
62267;Ñuñoa;2;1;30;56;
137396;SanJoaquín;5;2;160;160;1
192798;Maipu;3;3;93;145;1
190535;PuenteAlto;5;2;96;105;1
211706;LaFlorida;3;2;91;177;
598293;Colina;6;6;396;5000;
747198;Santiago;18;5;300;550;
398506;LaCisterna;3;1;177;938;
1450193;LaReina;5;4;356;4000;
273350;SanBernardo;5;3;145;150;1
78331;PuenteAlto;3;1;;;1
186800;LoPrado;5;2;100;120;
434349;SanMiguel;4;2;120;300;2
422825;SanMiguel;8;3;253;530;
341274;Colina;3;3;140;628;2
81684;PadreHurtado;2;1;53;58;1
365651;Colina;3;3;104;284;2
1595567;LoBarnechea;7;5;394;394;8
174346;Maipu;4;3;;;2
167497;ElBosque;4;2;120;180;3
158157;PedroAguirreCerda;3;1;70;200;
554172;Peñalolén;6;4;155;490;2
348692;LaFlorida;4;2;139;199;2
681972;Talagante;3;2;1338;280;
125872;Maipu;2;1;50;121;1
797783;LaFlorida;4;3;260;800;
97136;Santiago;2;1;98;98;
136364;ElBosque;3;1;70;300;
554016;Peñalolén;4;4;164;362;2
1263157;LasCondes;6;5;373;1049;5
465374;LasCondes;3;3;140;250;2
136986;PedroAguirreCerda;2;1;80;300;
168120;QuintaNormal;3;2;120;210;
753462;LaReina;4;3;180;360;3
904154;LoBarnechea;7;4;255;650;
338730;QuintaNormal;5;5;209;400;
1374004;Colina;5;5;580;4000;4
978127;Ñuñoa;5;4;230;645;1
460772;EstacionCentral;4;2;223;330;
1147922;LasCondes;3;2;190;670;4
850969;Santiago;6;4;650;690;
554016;Peñalolén;3;4;179;297;1
85928;PuenteAlto;3;2;40;74;
664819;Pirque;6;5;350;5000;15
124533;SanMiguel;3;2;73;153;
660025;Macul;3;3;330;600;4
212521;Quilicura;4;2;100;129;1
523039;Santiago;6;2;180;360;
952908;LaReina;4;4;188;518;
398892;Colina;3;3;165;450;2
607202;Vitacura;3;2;110;240;1
118306;Pudahuel;4;1;43;100;1
407756;LasCondes;4;2;139;230;2
117061;LaGranja;3;2;110;120;3
390027;LaReina;3;1;100;218;2
709185;Colina;3;2;164;620;
171856;Maipu;3;2;127;130;1
554016;Vitacura;3;2;118;115;2
146326;Maipu;2;1;100;198;1
930747;ElBosque;4;2;700;700;
174346;Santiago;3;2;157;214;
181717;SanBernardo;3;2;74;128;
150692;Macul;3;1;149;149;1
881994;Colina;5;5;404;5595;22
174346;CerroNavia;4;1;270;270;2
549141;Colina;4;5;175;800;4
267746;LasCondes;3;2;80;315;
593861;Ñuñoa;4;3;167;544;3
167534;LaFlorida;3;2;62;62;2
108587;SanBernardo;3;2;90;48;1
140349;EstacionCentral;3;1;120;200;
734803;Recoleta;5;2;207;467;1
370083;Pudahuel;4;3;140;275;2
421052;LaFlorida;5;4;140;312;2
311333;Macul;4;2;100;120;3
708698;LaReina;4;3;140;346;
110834;PedroAguirreCerda;3;1;51;154;1
74720;Peñaflor;4;1;100;100;1
155666;SanBernardo;6;2;220;135;
143213;Maipu;3;3;85;123;
554016;Peñalolén;6;4;298;164;2
87173;PuenteAlto;3;2;82;70;
98381;Quilicura;2;11;47;89;1
686980;LasCondes;3;3;168;294;2
124533;Cerrillos;3;1;75;95;1
184309;LoPrado;4;2;113;189;2
219178;PuenteAlto;4;3;109;153;
93075;CerroNavia;2;1;66;160;3
1404985;LasCondes;6;5;420;1000;1
155125;Maipu;3;2;65;100;1
92777;SanBernardo;3;2;126;101;1
1263157;LasCondes;5;6;454;454;6
970636;Colina;7;6;5000;5000;8
1058836;Ñuñoa;8;5;165;351;1
1174514;Colina;4;4;350;930;6
224159;LaFlorida;4;2;116;120;2
168120;PuenteAlto;3;2;75;102;
793351;Providencia;5;3;270;529;2
176310;LaFlorida;3;2;69;131;1
84682;Maipu;3;1;72;53;1
87173;LaFlorida;3;2;70;90;
961772;Santiago;4;4;250;250;
149363;Cerrillos;3;1;80;150;1
243767;QuintaNormal;4;2;150;200;2
199446;LoPrado;5;2;180;160;4
398005;Pudahuel;3;3;140;400;2
442327;Pudahuel;6;4;190;345;2
407756;Pudahuel;3;3;130;350;2
168120;SanJoaquín;5;2;80;290;1
;Pudahuel;4;3;161;233;2
464930;Pudahuel;3;4;180;390;2
376731;Pudahuel;6;3;145;270;2
420609;Pudahuel;3;3;165;300;2
278338;Pudahuel;3;3;100;160;1
296953;Pudahuel;3;2;115;270;3
421052;Pudahuel;4;3;145;400;3
180573;PuenteAlto;4;3;129;208;3
259280;QuintaNormal;7;3;250;310;
1506481;Providencia;7;6;260;580;
80946;Maipu;3;1;78;60;
186800;EstacionCentral;2;2;105;190;3
664819;Pirque;4;3;270;5700;7
554016;Peñalolén;4;4;140;368;2
191283;SanBernardo;2;1;80;317;
149440;Quilicura;2;2;101;140;1
484609;SanJoaquín;6;3;700;700;8
261519;PuenteAlto;6;2;288;288;2
149440;LaGranja;3;1;59;177;5
407534;Providencia;11;3;218;172;
165006;SanBernardo;4;3;100;130;2
174346;LaFlorida;4;2;275;275;1
457617;Ñuñoa;5;3;240;180;1
1506924;LasCondes;5;;330;304;3
1108653;LoBarnechea;3;4;375;1805;6
112080;Maipu;2;1;80;105;1
1365096;LoBarnechea;5;5;351;855;3
176842;Buin;3;3;72;147;2
105853;Maipu;4;2;43;50;
933998;LaFlorida;4;4;190;1200;6
359712;SanBernardo;3;3;156;463;
146949;PuenteAlto;2;1;100;189;3
130760;Quilicura;4;2;120;96;
271482;LoPrado;4;2;164;243;2
819944;LasCondes;5;4;179;356;
93400;PuenteAlto;3;1;77;125;
101494;Cerrillos;3;1;84;103;
113325;PuenteAlto;4;2;75;50;
91258;Maipu;3;1;60;60;1
99626;Maipu;5;2;116;116;
1041550;LasCondes;6;4;330;750;5
235367;PuenteAlto;4;2;120;100;
629362;LasCondes;3;3;135;190;2
205479;SanBernardo;6;2;165;200;
464930;Colina;4;4;140;393;3
554016;Peñalolén;4;4;150;370;3
77210;PuenteAlto;2;1;48;97;
99626;Quilicura;2;1;63;98;
155666;Maipu;5;2;99;127;
180573;SanBernardo;3;2;70;161;2
112080;Santiago;4;2;111;90;
133873;Paine;3;2;67;145;
252631;Maipu;4;2;134;255;
476454;Maipu;4;2;244;464;4
819944;LaCisterna;7;3;300;1050;8
753462;LasCondes;4;2;140;200;1
116936;Renca;4;1;129;175;3
156277;LaFlorida;3;2;78;110;2
265485;LaCisterna;3;4;175;294;
1108032;LasCondes;3;2;150;930;
544709;Peñalolén;5;4;160;280;2
813739;Ñuñoa;3;2;288;636;2
18057;SanBernardo;2;1;20;20;
130760;SanBernardo;3;2;142;170;
797783;Providencia;6;2;308;316;3
68493;PuenteAlto;2;1;;;
864265;LoBarnechea;3;3;170;703;
540720;Peñalolén;5;4;178;400;2
136986;LaFlorida;5;2;75;92;
757894;Maipu;3;2;171;800;5
124533;Talagante;4;2;130;130;1
770747;LasCondes;6;5;180;300;2
751718;Santiago;15;4;249;410;
498615;Ñuñoa;4;4;350;375;4
485679;Ñuñoa;3;2;132;216;1
146260;Quilicura;3;3;90;120;
186149;PuenteAlto;4;2;118;318;
185263;LaFlorida;3;2;98;150;2
177285;Quilicura;4;2;129;123;2
640443;CaleradeTango;5;3;200;5000;3
627590;Santiago;1;1;708;708;
97507;PuenteAlto;3;2;60;80;2
168120;LaFlorida;4;2;134;100;
611191;Vitacura;4;4;161;193;
571745;Talagante;4;4;300;5000;
1192243;LasCondes;5;4;400;670;
143213;Melipilla;3;2;65;150;3
130760;PuenteAlto;3;2;98;98;2
1320775;LoBarnechea;6;5;440;1000;2
2747920;Vitacura;5;6;650;4000;
1218836;Colina;6;5;387;3500;14
1617727;LasCondes;5;5;517;1419;7
98381;SanBernardo;3;2;70;70;
236613;LaCisterna;5;2;200;210;
358958;Maipu;5;3;140;252;2
452077;Huechuraba;5;4;160;318;1
819944;LasCondes;3;2;162;600;
1130193;LasCondes;7;4;260;280;2
551800;Colina;4;4;173;386;
190582;Maipu;3;2;80;130;2
74720;SanBernardo;4;1;57;63;
211706;Quilicura;3;3;150;110;2
1728531;LasCondes;6;4;420;1500;
105853;Renca;3;1;92;123;
211706;Santiago;5;4;184;72;1
230471;Providencia;2;2;4;57;1
585305;Tiltil;4;4;290;75000;
178172;LaFlorida;2;2;120;130;1
105853;SanBernardo;3;1;;;2
140722;Pudahuel;5;3;170;170;
531856;Peñalolén;6;4;179;400;2
217933;Quilicura;4;3;98;117;1
373599;Santiago;6;4;280;144;
199253;ElBosque;3;1;54;418;
298879;Macul;6;3;135;150;2
93400;Maipu;3;1;64;250;
594147;LaFlorida;6;5;186;467;3
112080;PuenteAlto;3;1;65;110;
611634;Vitacura;5;3;140;200;2
331967;PuenteAlto;4;3;160;253;
62267;Lampa;5;1;100;72;
531856;Peñalolén;3;4;160;400;2
1041550;LasCondes;6;3;262;565;
203878;Maipu;4;1;65;199;2
1639888;Santiago;5;5;370;370;6
1275966;LoBarnechea;4;4;363;1216;
323786;Maipu;4;2;160;260;2
228255;Maipu;5;3;120;130;1
576177;LasCondes;2;2;110;400;2
181717;PuenteAlto;3;2;120;250;
1014958;Vitacura;4;2;144;530;7
688667;LasCondes;6;4;192;348;4
1455955;LoBarnechea;7;7;535;835;
1506481;Providencia;7;6;260;580;
102117;PuenteAlto;2;1;38;124;1
310249;PuenteAlto;4;3;112;200;2
137396;Santiago;5;2;160;160;1
109589;Recoleta;2;1;45;71;
305106;SanJoaquín;6;3;140;436;2
753462;Buin;6;4;330;5000;
709141;Colina;5;5;285;5000;
68493;SanBernardo;2;1;55;110;
105853;Renca;4;1;40;127;
473225;Ñuñoa;7;3;170;303;
693246;Ñuñoa;4;4;547;234;1
161893;ElBosque;2;1;68;310;3
93400;CerroNavia;4;2;76;110;
100787;Colina;3;1;75;140;
323545;LaCisterna;2;1;76;530;
132005;SanBernardo;3;1;60;120;2
68493;Peñaflor;3;2;55;80;3
323786;Santiago;8;3;175;105;
157341;Recoleta;7;4;133;190;2
186800;Maipu;4;3;121;80;1
456509;SanMiguel;5;2;189;400;
531412;Peñalolén;5;4;180;490;2
796897;LasCondes;4;3;193;315;
749030;LasCondes;4;3;140;300;2
553573;Colina;4;4;149;397;3
250859;LaFlorida;4;2;111;111;1
199253;SanBernardo;2;1;;;
629362;Ñuñoa;5;4;250;504;6
68493;LaGranja;2;1;42;84;
228255;Maipu;3;3;90;180;1
161893;Huechuraba;5;2;75;144;1
311333;Cerrillos;4;2;165;377;3
531412;Ñuñoa;4;2;170;300;3
591532;LasCondes;4;3;213;185;2
460941;Santiago;10;4;314;314;
311333;LaCisterna;2;1;167;396;4
1450193;LaReina;4;4;;;
261519;LaFlorida;4;3;119;200;3
1263157;LasCondes;5;5;453;820;5
249066;CerroNavia;4;4;306;316;4
155666;Maipu;3;1;65;150;1
374515;LaReina;3;3;94;143;3
234903;Buin;3;3;86;193;3
248199;Cerrillos;3;2;124;319;3
118306;LaFlorida;4;1;100;75;3
161893;Cerrillos;4;2;130;80;1
136986;Pudahuel;3;1;48;166;1
975068;Huechuraba;4;5;300;805;5
97136;Santiago;3;2;68;68;
168120;PadreHurtado;3;1;55;215;
68493;SanBernardo;3;1;50;70;
155125;Renca;2;3;73;128;
530083;Peñalolén;5;3;170;400;3
930747;Ñuñoa;5;3;250;821;1
762326;Colina;5;4;224;1122;
199253;LoPrado;7;2;178;225;1
155666;Colina;4;2;64;140;
731301;Providencia;3;2;129;211;
531856;Santiago;3;3;146;196;1
460941;LaFlorida;5;4;194;454;2
509695;LasCondes;4;3;140;223;
775623;LoBarnechea;4;4;195;438;
224159;CaleradeTango;3;2;125;500;4
660387;LoBarnechea;4;5;180;220;1
885983;LasCondes;4;2;173;433;1
837672;LoBarnechea;3;4;160;400;2
99626;Lampa;4;1;90;72;
793351;LoBarnechea;3;3;220;500;2
161893;Ñuñoa;2;;82;55;1
62267;Colina;2;1;42;128;
512133;Santiago;5;5;379;426;
111582;SanBernardo;3;3;90;170;2
211706;LaGranja;5;2;122;120;
1994458;LasCondes;5;6;930;466;4
105853;SanBernardo;2;3;73;132;
146260;Pudahuel;4;2;72;75;2
199253;Santiago;3;2;100;164;1
159402;Maipu;3;2;70;96;
199446;Lampa;3;3;80;155;4
1240996;Providencia;4;3;250;890;4
432133;LaFlorida;3;2;131;1500;4
286426;Conchalí;10;5;110;470;4
177285;Santiago;1;1;138;224;
143213;PuenteAlto;3;2;86;105;1
199253;PuenteAlto;4;2;100;185;
1165650;Providencia;6;5;340;589;3
671468;Colina;3;3;170;662;4
238803;QuintaNormal;3;1;115;298;1
186800;Quilicura;4;3;95;142;3
2216065;Vitacura;6;5;500;1602;
571745;Colina;2;3;173;650;6
155125;LaFlorida;3;2;110;160;
145704;PuenteAlto;3;2;88;80;1
118306;Peñaflor;3;1;92;120;
149440;Macul;3;1;58;180;3
212329;SanBernardo;4;3;120;160;4
1320775;LasCondes;4;3;290;800;4
1639888;LoBarnechea;7;7;350;3500;6
609329;Maipu;5;6;210;1110;
161773;Maipu;3;3;100;180;2
263712;SanBernardo;3;3;98;197;2
527423;Peñalolén;4;4;156;280;2
168120;Conchalí;4;2;134;180;2
83437;SanBernardo;4;1;;;
118306;Huechuraba;3;2;70;100;2
93400;Lampa;3;1;100;77;1
97136;SanBernardo;3;2;51;74;
97136;SanRamon;4;1;199;181;3
465374;Santiago;5;3;267;246;2
68493;PadreHurtado;3;2;65;65;
323545;LaCisterna;4;3;250;500;4
118306;Pudahuel;2;1;49;120;1
143213;ElBosque;2;2;80;157;3
105853;LaFlorida;6;2;125;144;
126759;PuenteAlto;3;1;60;85;
1103600;Santiago;5;5;;;
1768420;Vitacura;3;2;168;1;
199253;SanMiguel;3;3;89;195;
172853;Maipu;4;2;95;132;1
944044;Providencia;5;4;248;470;
93400;Santiago;1;;;;
384266;LaFlorida;3;;;;
195517;Quilicura;3;3;85;103;2
181717;Cerrillos;2;;;;
173101;Santiago;5;2;105;122;
174346;Ñuñoa;2;2;78;55;1
173101;PuenteAlto;4;;;;
376731;Colina;4;;;;
624930;LasCondes;5;3;138;198;2
221163;Colina;3;2;95;414;
503047;Colina;3;2;125;350;
140722;LaGranja;2;1;150;300;2
1006093;LasCondes;5;3;227;227;3
43587;PuenteAlto;3;1;71;63;
136986;LaPintana;4;2;51;117;2
465374;LaReina;5;2;113;232;2
199446;SanBernardo;3;3;90;151;1
88643;SanBernardo;3;2;55;58;
80946;SanBernardo;3;1;50;118;1
108587;SanBernardo;3;2;180;180;2
239335;Independencia;4;2;122;237;1
128532;SanBernardo;4;2;110;130;2
177285;SanBernardo;4;3;89;160;2
141828;SanBernardo;3;2;82;106;1
1461796;Vitacura;12;6;1446;563;
235367;Maipu;4;4;121;200;4
110803;PuenteAlto;2;1;52;80;
67248;PuenteAlto;5;2;65;90;
1329639;LoBarnechea;6;6;550;1232;
636232;LasCondes;3;2;96;319;
2540473;LasCondes;5;3;340;800;14
80946;Lampa;2;1;66;70;
612299;Peñaflor;4;2;120;1539;4
505263;Huechuraba;4;4;140;400;2
273973;Providencia;8;8;112;112;
873130;Vitacura;4;3;140;450;
704709;Colina;6;6;250;1050;5
76501;PuenteAlto;4;1;81;81;
1108032;Colina;4;4;450;4750;4
274792;Buin;3;3;98;220;2
62267;Colina;3;1;130;90;
166205;SanBernardo;3;2;84;140;1
1768420;Vitacura;5;5;714;5640;23
87173;Buin;2;1;103;87;
74720;Maipu;3;1;90;60;
87173;PuenteAlto;3;1;92;170;1
155666;Quilicura;3;3;80;85;1
224159;Lampa;4;3;120;200;1
527423;Peñalolén;4;4;156;280;2
792465;Providencia;6;3;272;435;
261519;Maipu;4;3;120;225;2
435866;LaFlorida;4;4;133;168;3
109589;SanRamon;5;2;105;171;
223120;Independencia;6;2;201;171;
1017129;SanMiguel;7;2;1500;218;2
146949;Maipu;3;1;64;80;
6869801;LasCondes;4;3;140;160;2
149440;PuenteAlto;3;1;58;135;1
168643;PadreHurtado;3;2;77;140;1
611634;Ñuñoa;5;2;175;609;1
149440;Maipu;2;1;65;289;
423268;Colina;3;3;135;400;2
107098;PuenteAlto;2;2;62;107;
191245;SanBernardo;6;2;161;166;2
585041;Colina;4;4;140;463;2
191781;LaFlorida;5;3;139;162;2
797783;Colina;4;4;192;600;8
138979;SanBernardo;4;2;90;120;3
283935;SanMiguel;3;2;125;300;
84147;PuenteAlto;3;2;80;95;1
1595567;LoBarnechea;7;5;394;394;8
204857;SanBernardo;3;3;90;160;2
348692;Macul;3;2;100;312;
633795;LasCondes;3;2;154;220;1
87173;Melipilla;3;1;74;151;2
660387;Colina;5;5;280;5000;12
13697;Colina;3;3;120;350;
127497;Maipu;3;2;100;80;1
273973;Conchalí;2;2;220;220;4
99626;LoPrado;3;2;100;120;1
209215;Independencia;4;1;140;200;2
1150714;LoBarnechea;6;5;310;811;
1041550;LasCondes;4;3;277;845;
310205;Maipu;4;2;130;120;2
726869;Colina;4;4;309;5373;
102117;SanBernardo;2;1;90;162;
1108032;Vitacura;6;4;270;1005;4
522991;Peñalolén;3;4;160;400;2
93400;ElMonte;3;1;51;300;
97136;Ñuñoa;3;1;50;50;
155125;PuenteAlto;3;3;85;85;1
217933;PuenteAlto;4;1;120;240;3
387811;LaReina;3;2;165;119;2
1108032;Vitacura;6;5;238;390;2
188366;LaFlorida;4;2;78;179;
435866;SanMiguel;6;2;232;255;5
343490;Maipu;6;4;140;212;2
70914;SanBernardo;2;1;80;100;
642659;Vitacura;4;4;124;210;2
520775;LoBarnechea;4;3;200;315;6
95890;PuenteAlto;5;3;50;70;1
604631;Macul;4;3;201;334;
483102;LasCondes;4;3;124;222;1
622665;Maipu;4;5;360;5400;4
1595567;Colina;4;4;327;10153;22
156912;Quilicura;4;2;180;57;
753462;Vitacura;4;4;120;300;3
163989;Quilicura;3;1;65;82;1
997229;LoBarnechea;6;3;260;600;3
67248;Melipilla;3;2;60;470;2
62267;Peñaflor;4;1;;;
479452;Ñuñoa;8;4;250;375;6
753462;LasCondes;3;3;138;281;2
286316;Santiago;3;2;200;340;
483102;Ñuñoa;3;2;108;230;2
908587;Colina;9;7;415;5000;30
261496;LaFlorida;4;3;125;170;2
267746;Santiago;5;2;221;262;4
885983;LasCondes;3;3;187;433;2
1285318;Colina;5;4;378;6298;4
153176;SanJoaquín;3;1;100;300;
1152309;Talagante;6;3;17525;1800;5
3486924;Independencia;9;4;519;757;
1240996;Colina;5;5;467;5075;14
485679;Santiago;5;4;305;305;
527423;Curacaví;4;5;235;8000;
210526;PuenteAlto;3;2;75;200;5
350138;Buin;4;4;137;458;1
485679;LaFlorida;3;1;70;1211;
522991;Peñalolén;4;4;168;283;2
354526;SanMiguel;4;3;176;348;
